post_id,timestamp,platform,post_text,likes,comments,shares,views,hashtags,sentiment,engagement_rate,post_text_length,hashtag_count,hour_of_day,day_of_week,month
1,2024-12-14 21:39:00,Instagram,post number 0 is about something interesting,2,42,47,3,#news,negative,30.333333333333332,44,1,21,Saturday,12
2,2024-06-25 08:57:00,Twitter,post number 1 is about something interesting,395,89,5,1026,"#life,#fun",positive,0.4766081871345029,44,2,8,Tuesday,6
3,2024-12-25 07:08:00,Facebook,post number 2 is about something interesting,136,38,21,407,"#fun,#life",negative,0.47911547911547914,44,2,7,Wednesday,12
4,2024-08-24 05:24:00,Instagram,post number 3 is about something interesting,109,36,16,244,"#trend,#life",positive,0.6598360655737705,44,2,5,Saturday,8
5,2024-06-11 22:46:00,Twitter,post number 4 is about something interesting,150,95,34,442,"#fun,#trend",positive,0.6312217194570136,44,2,22,Tuesday,6
6,2024-10-13 11:49:00,Instagram,post number 5 is about something interesting,285,76,18,573,"#fun,#life",neutral,0.6614310645724258,44,2,11,Sunday,10
7,2024-04-18 07:13:00,Twitter,post number 6 is about something interesting,96,88,37,169,"#life,#trend",positive,1.3076923076923077,44,2,7,Thursday,4
8,2024-06-11 18:07:00,Instagram,post number 7 is about something interesting,491,35,24,999,#fun,neutral,0.5505505505505506,44,1,18,Tuesday,6
9,2024-02-14 18:15:00,Facebook,post number 8 is about something interesting,416,40,18,1173,"#fun,#trend",negative,0.4040920716112532,44,2,18,Wednesday,2
10,2024-09-21 17:44:00,Instagram,post number 9 is about something interesting,431,88,41,744,"#life,#trend",neutral,0.7526881720430108,44,2,17,Saturday,9
11,2024-05-11 10:53:00,Instagram,post number 10 is about something interesting,381,85,12,788,#trend,negative,0.6065989847715736,45,1,10,Saturday,5
12,2024-10-03 03:36:00,Twitter,post number 11 is about something interesting,88,52,37,225,"#fun,#life",positive,0.7866666666666666,45,2,3,Thursday,10
13,2024-05-29 08:56:00,Twitter,post number 12 is about something interesting,499,1,11,1061,#fun,neutral,0.4816211121583412,45,1,8,Wednesday,5
14,2024-03-22 12:08:00,Facebook,post number 13 is about something interesting,188,4,3,453,"#news,#life",neutral,0.4304635761589404,45,2,12,Friday,3
15,2024-04-16 09:28:00,Twitter,post number 14 is about something interesting,464,44,35,922,"#trend,#news",negative,0.588937093275488,45,2,9,Tuesday,4
16,2024-06-09 02:50:00,Facebook,post number 15 is about something interesting,198,26,28,435,#trend,neutral,0.5793103448275863,45,1,2,Sunday,6
17,2024-09-13 08:20:00,Twitter,post number 16 is about something interesting,333,14,30,954,"#life,#trend",neutral,0.3951781970649895,45,2,8,Friday,9
18,2024-02-08 18:14:00,Twitter,post number 17 is about something interesting,230,97,48,478,#life,positive,0.7845188284518828,45,1,18,Thursday,2
19,2024-02-05 17:32:00,Twitter,post number 18 is about something interesting,32,38,10,51,#news,neutral,1.5686274509803921,45,1,17,Monday,2
20,2024-04-23 09:10:00,Twitter,post number 19 is about something interesting,94,19,32,232,#life,negative,0.625,45,1,9,Tuesday,4
21,2024-07-25 20:13:00,Facebook,post number 20 is about something interesting,458,39,13,944,"#life,#news",negative,0.5402542372881356,45,2,20,Thursday,7
22,2024-10-03 16:16:00,Facebook,post number 21 is about something interesting,184,86,40,334,"#life,#trend",negative,0.9281437125748503,45,2,16,Thursday,10
23,2024-02-19 21:18:00,Facebook,post number 22 is about something interesting,306,79,25,691,"#news,#life",negative,0.5933429811866859,45,2,21,Monday,2
24,2024-09-01 02:34:00,Facebook,post number 23 is about something interesting,476,15,19,1327,#trend,neutral,0.38432554634513943,45,1,2,Sunday,9
25,2024-12-18 00:55:00,Twitter,post number 24 is about something interesting,109,32,45,197,#life,neutral,0.9441624365482234,45,1,0,Wednesday,12
26,2024-06-22 10:01:00,Instagram,post number 25 is about something interesting,464,13,17,1233,#fun,positive,0.4006488240064882,45,1,10,Saturday,6
27,2024-03-13 00:20:00,Instagram,post number 26 is about something interesting,288,61,33,642,#news,positive,0.5950155763239875,45,1,0,Wednesday,3
28,2024-12-15 13:06:00,Instagram,post number 27 is about something interesting,226,48,34,602,"#trend,#fun",positive,0.5116279069767442,45,2,13,Sunday,12
29,2024-08-21 16:29:00,Instagram,post number 28 is about something interesting,11,16,9,20,"#fun,#life",negative,1.8,45,2,16,Wednesday,8
30,2024-03-09 08:05:00,Instagram,post number 29 is about something interesting,200,77,14,550,"#fun,#trend",neutral,0.5290909090909091,45,2,8,Saturday,3
31,2024-10-30 15:20:00,Facebook,post number 30 is about something interesting,28,30,47,75,#news,positive,1.4,45,1,15,Wednesday,10
32,2024-03-04 04:16:00,Twitter,post number 31 is about something interesting,220,40,12,436,"#fun,#trend",neutral,0.6238532110091743,45,2,4,Monday,3
33,2024-06-10 00:16:00,Twitter,post number 32 is about something interesting,494,99,24,1190,#life,negative,0.5184873949579832,45,1,0,Monday,6
34,2024-02-18 05:42:00,Twitter,post number 33 is about something interesting,471,61,35,975,"#fun,#trend",positive,0.5815384615384616,45,2,5,Sunday,2
35,2024-10-14 05:47:00,Facebook,post number 34 is about something interesting,343,46,24,934,"#trend,#news",neutral,0.4421841541755889,45,2,5,Monday,10
36,2024-07-21 17:07:00,Twitter,post number 35 is about something interesting,282,11,33,767,"#life,#trend",positive,0.42503259452411996,45,2,17,Sunday,7
37,2024-07-11 01:27:00,Instagram,post number 36 is about something interesting,352,53,7,1025,#fun,neutral,0.40195121951219515,45,1,1,Thursday,7
38,2024-09-27 15:59:00,Instagram,post number 37 is about something interesting,377,72,8,1129,"#news,#fun",neutral,0.40478299379982285,45,2,15,Friday,9
39,2024-11-24 21:57:00,Instagram,post number 38 is about something interesting,82,86,16,205,"#trend,#fun",negative,0.8975609756097561,45,2,21,Sunday,11
40,2024-08-07 14:19:00,Twitter,post number 39 is about something interesting,26,41,32,77,#news,positive,1.2857142857142858,45,1,14,Wednesday,8
41,2024-01-29 16:02:00,Facebook,post number 40 is about something interesting,496,44,48,785,"#life,#trend",negative,0.7490445859872611,45,2,16,Monday,1
42,2024-05-02 12:18:00,Facebook,post number 41 is about something interesting,51,94,20,134,#life,negative,1.2313432835820894,45,1,12,Thursday,5
43,2024-08-11 18:03:00,Facebook,post number 42 is about something interesting,416,24,28,878,#life,neutral,0.5330296127562643,45,1,18,Sunday,8
44,2024-09-12 06:31:00,Instagram,post number 43 is about something interesting,145,32,38,394,#life,neutral,0.5456852791878173,45,1,6,Thursday,9
