post_id,timestamp,platform,post_text,likes,comments,shares,views,hashtags,sentiment
1,2024-12-14 21:39:00,Instagram,Post number 0 is about something interesting!,2,42,47,3,#news,negative
2,2024-06-25 08:57:00,Twitter,Post number 1 is about something interesting!,395,89,5,1026,"#life,#fun",positive
3,2024-12-25 07:08:00,Facebook,Post number 2 is about something interesting!,136,38,21,407,"#fun,#life",negative
4,2024-08-24 05:24:00,Instagram,Post number 3 is about something interesting!,109,36,16,244,"#trend,#life",positive
5,2024-06-11 22:46:00,Twitter,Post number 4 is about something interesting!,150,95,34,442,"#fun,#trend",positive
6,2024-10-13 11:49:00,Instagram,Post number 5 is about something interesting!,285,76,18,573,"#fun,#life",neutral
7,2024-04-18 07:13:00,Twitter,Post number 6 is about something interesting!,96,88,37,169,"#life,#trend",positive
8,2024-06-11 18:07:00,Instagram,Post number 7 is about something interesting!,491,35,24,999,#fun,neutral
9,2024-02-14 18:15:00,Facebook,Post number 8 is about something interesting!,416,40,18,1173,"#fun,#trend",negative
10,2024-09-21 17:44:00,Instagram,Post number 9 is about something interesting!,431,88,41,744,"#life,#trend",neutral
11,2024-05-11 10:53:00,Instagram,Post number 10 is about something interesting!,381,85,12,788,#trend,negative
12,2024-10-03 03:36:00,Twitter,Post number 11 is about something interesting!,88,52,37,225,"#fun,#life",positive
13,2024-05-29 08:56:00,Twitter,Post number 12 is about something interesting!,499,1,11,1061,#fun,neutral
14,2024-03-22 12:08:00,Facebook,Post number 13 is about something interesting!,188,4,3,453,"#news,#life",neutral
15,2024-04-16 09:28:00,Twitter,Post number 14 is about something interesting!,464,44,35,922,"#trend,#news",negative
16,2024-06-09 02:50:00,Facebook,Post number 15 is about something interesting!,198,26,28,435,#trend,neutral
17,2024-09-13 08:20:00,Twitter,Post number 16 is about something interesting!,333,14,30,954,"#life,#trend",neutral
18,2024-02-08 18:14:00,Twitter,Post number 17 is about something interesting!,230,97,48,478,#life,positive
19,2024-02-05 17:32:00,Twitter,Post number 18 is about something interesting!,32,38,10,51,#news,neutral
20,2024-04-23 09:10:00,Twitter,Post number 19 is about something interesting!,94,19,32,232,#life,negative
21,2024-07-25 20:13:00,Facebook,Post number 20 is about something interesting!,458,39,13,944,"#life,#news",negative
22,2024-10-03 16:16:00,Facebook,Post number 21 is about something interesting!,184,86,40,334,"#life,#trend",negative
23,2024-02-19 21:18:00,Facebook,Post number 22 is about something interesting!,306,79,25,691,"#news,#life",negative
24,2024-09-01 02:34:00,Facebook,Post number 23 is about something interesting!,476,15,19,1327,#trend,neutral
25,2024-12-18 00:55:00,Twitter,Post number 24 is about something interesting!,109,32,45,197,#life,neutral
26,2024-06-22 10:01:00,Instagram,Post number 25 is about something interesting!,464,13,17,1233,#fun,positive
27,2024-03-13 00:20:00,Instagram,Post number 26 is about something interesting!,288,61,33,642,#news,positive
28,2024-12-15 13:06:00,Instagram,Post number 27 is about something interesting!,226,48,34,602,"#trend,#fun",positive
29,2024-08-21 16:29:00,Instagram,Post number 28 is about something interesting!,11,16,9,20,"#fun,#life",negative
30,2024-03-09 08:05:00,Instagram,Post number 29 is about something interesting!,200,77,14,550,"#fun,#trend",neutral
31,2024-10-30 15:20:00,Facebook,Post number 30 is about something interesting!,28,30,47,75,#news,positive
32,2024-03-04 04:16:00,Twitter,Post number 31 is about something interesting!,220,40,12,436,"#fun,#trend",neutral
33,2024-06-10 00:16:00,Twitter,Post number 32 is about something interesting!,494,99,24,1190,#life,negative
34,2024-02-18 05:42:00,Twitter,Post number 33 is about something interesting!,471,61,35,975,"#fun,#trend",positive
35,2024-10-14 05:47:00,Facebook,Post number 34 is about something interesting!,343,46,24,934,"#trend,#news",neutral
36,2024-07-21 17:07:00,Twitter,Post number 35 is about something interesting!,282,11,33,767,"#life,#trend",positive
37,2024-07-11 01:27:00,Instagram,Post number 36 is about something interesting!,352,53,7,1025,#fun,neutral
38,2024-09-27 15:59:00,Instagram,Post number 37 is about something interesting!,377,72,8,1129,"#news,#fun",neutral
39,2024-11-24 21:57:00,Instagram,Post number 38 is about something interesting!,82,86,16,205,"#trend,#fun",negative
40,2024-08-07 14:19:00,Twitter,Post number 39 is about something interesting!,26,41,32,77,#news,positive
41,2024-01-29 16:02:00,Facebook,Post number 40 is about something interesting!,496,44,48,785,"#life,#trend",negative
42,2024-05-02 12:18:00,Facebook,Post number 41 is about something interesting!,51,94,20,134,#life,negative
